20-03-2018 13:16:56 INFO  Actionwords:1124 - <<<<<------------------------------------------------------------------------------->>>>>
20-03-2018 13:16:57 INFO  TestRunner:56 - ****************Test Run Completed at_20-03-2018_13-16-57*******************
20-03-2018 16:53:49 INFO  TestRunner:38 - ****************Test Run Started at_20-03-2018_16-53-49*******************
20-03-2018 17:03:28 INFO  TestRunner:38 - ****************Test Run Started at_20-03-2018_17-03-28*******************
20-03-2018 17:04:29 INFO  Actionwords:1095 - <----------Scenario Started: Select single statement pending agreement--------------->
20-03-2018 17:04:38 INFO  TPLoginPage:40 - entering loginuname....[[ChromeDriver: chrome on XP (4709a071a768adfcadd2f7fa4b26e499)] -> id: Email]
20-03-2018 17:04:38 INFO  TPLoginPage:45 - entering loginpwd....
20-03-2018 17:04:55 INFO  TPLoginPage:50 - clicking on login button...
20-03-2018 17:04:56 INFO  WaitHelper:28 - Waiting until element: '[[ChromeDriver: chrome on XP (4709a071a768adfcadd2f7fa4b26e499)] -> xpath: //button[contains(text(),'Log in')]]' is clickable
20-03-2018 17:05:32 INFO  WaitHelper:36 - Waiting until element: '[[ChromeDriver: chrome on XP (4709a071a768adfcadd2f7fa4b26e499)] -> xpath: //div[@class='container body-content']/h2]' is visible
20-03-2018 17:05:32 INFO  Actionwords:759 - true
20-03-2018 17:05:33 INFO  TPStatementPage:191 - No. of columns in the table header are: 16
20-03-2018 17:05:53 INFO  Actionwords:1105 - <----------Scenario Completed: Select single statement pending agreement--------------->
20-03-2018 17:05:53 INFO  Actionwords:1120 - <<<<<------------------------------------------------------------------------------->>>>>
20-03-2018 17:05:55 INFO  TestRunner:56 - ****************Test Run Completed at_20-03-2018_17-05-55*******************
20-03-2018 17:12:03 INFO  TestRunner:38 - ****************Test Run Started at_20-03-2018_17-12-03*******************
20-03-2018 17:12:10 INFO  Actionwords:1095 - <----------Scenario Started: Select single statement pending agreement--------------->
20-03-2018 17:12:13 INFO  TPLoginPage:40 - entering loginuname....[[ChromeDriver: chrome on XP (d957b47def2733a89a517c3b038650fb)] -> id: Email]
20-03-2018 17:12:14 INFO  TPLoginPage:45 - entering loginpwd....
20-03-2018 17:12:14 INFO  TPLoginPage:50 - clicking on login button...
20-03-2018 17:12:14 INFO  WaitHelper:28 - Waiting until element: '[[ChromeDriver: chrome on XP (d957b47def2733a89a517c3b038650fb)] -> xpath: //button[contains(text(),'Log in')]]' is clickable
20-03-2018 17:12:16 INFO  WaitHelper:36 - Waiting until element: '[[ChromeDriver: chrome on XP (d957b47def2733a89a517c3b038650fb)] -> xpath: //div[@class='container body-content']/h2]' is visible
20-03-2018 17:12:16 INFO  Actionwords:759 - true
20-03-2018 17:12:16 INFO  TPStatementPage:191 - No. of columns in the table header are: 16
20-03-2018 17:12:37 INFO  Actionwords:1105 - <----------Scenario Completed: Select single statement pending agreement--------------->
20-03-2018 17:12:37 INFO  Actionwords:1120 - <<<<<------------------------------------------------------------------------------->>>>>
20-03-2018 17:12:39 INFO  TestRunner:56 - ****************Test Run Completed at_20-03-2018_17-12-39*******************
20-03-2018 17:28:14 INFO  TestRunner:38 - ****************Test Run Started at_20-03-2018_17-28-14*******************
20-03-2018 17:28:21 INFO  Actionwords:1095 - <----------Scenario Started: Select single statement pending agreement--------------->
20-03-2018 17:28:23 INFO  TPLoginPage:40 - entering loginuname....[[ChromeDriver: chrome on XP (edb67f0789dea622318e5b3c15de6657)] -> id: Email]
20-03-2018 17:28:23 INFO  TPLoginPage:45 - entering loginpwd....
20-03-2018 17:28:23 INFO  TPLoginPage:50 - clicking on login button...
20-03-2018 17:28:23 INFO  WaitHelper:28 - Waiting until element: '[[ChromeDriver: chrome on XP (edb67f0789dea622318e5b3c15de6657)] -> xpath: //button[contains(text(),'Log in')]]' is clickable
20-03-2018 17:28:25 INFO  WaitHelper:36 - Waiting until element: '[[ChromeDriver: chrome on XP (edb67f0789dea622318e5b3c15de6657)] -> xpath: //div[@class='container body-content']/h2]' is visible
20-03-2018 17:28:25 INFO  Actionwords:759 - true
20-03-2018 17:28:25 INFO  TPStatementPage:191 - No. of columns in the table header are: 16
20-03-2018 17:28:26 INFO  TPStatementPage:223 - Required column is present in statement table at position: 2
20-03-2018 17:28:26 INFO  TPStatementPage:240 - Row present in statement table are: 19
20-03-2018 17:28:27 INFO  TPStatementPage:325 - Number of statement present with required status of: Pending are- 19
20-03-2018 17:28:28 INFO  TPStatementPage:191 - No. of columns in the table header are: 16
20-03-2018 17:28:29 INFO  TPStatementPage:223 - Required column is present in statement table at position: 2
20-03-2018 17:28:29 INFO  ExcelReader:61 - Row no. returned from sheet is: 1
20-03-2018 17:29:31 INFO  ExcelReader:96 - Cell value on row 1 and column 3 is: Pending
20-03-2018 17:29:46 INFO  TPStatementPage:240 - Row present in statement table are: 19
20-03-2018 17:29:48 INFO  TPStatementPage:325 - Number of statement present with required status of: Pending are- 19
20-03-2018 17:30:07 INFO  TPStatementPage:240 - Row present in statement table are: 19
20-03-2018 17:30:08 INFO  TPStatementPage:191 - No. of columns in the table header are: 16
20-03-2018 17:30:08 INFO  TPStatementPage:223 - Required column is present in statement table at position: 2
20-03-2018 17:30:17 INFO  Actionwords:1105 - <----------Scenario Completed: Select single statement pending agreement--------------->
20-03-2018 17:30:18 INFO  Actionwords:1120 - <<<<<------------------------------------------------------------------------------->>>>>
20-03-2018 17:30:19 INFO  TestRunner:56 - ****************Test Run Completed at_20-03-2018_17-30-19*******************
20-03-2018 17:32:20 INFO  TestRunner:38 - ****************Test Run Started at_20-03-2018_17-32-20*******************
20-03-2018 17:32:25 INFO  Actionwords:1095 - <----------Scenario Started: Select single statement pending agreement--------------->
20-03-2018 17:32:28 INFO  TPLoginPage:40 - entering loginuname....[[ChromeDriver: chrome on XP (d09231a2890344dde71f5f9ca85e6121)] -> id: Email]
20-03-2018 17:32:28 INFO  TPLoginPage:45 - entering loginpwd....
20-03-2018 17:32:28 INFO  TPLoginPage:50 - clicking on login button...
20-03-2018 17:32:29 INFO  WaitHelper:28 - Waiting until element: '[[ChromeDriver: chrome on XP (d09231a2890344dde71f5f9ca85e6121)] -> xpath: //button[contains(text(),'Log in')]]' is clickable
